date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
12/2/19 21:31,victoriaguna,AppleTV,1,0,2,Stereotype on stereotype.. this is not okay.,,,,1.20161E+18,https://twitter.com/victoriaguna/status/1201614877229379584
11/26/19 23:42,TheBigIdito,,1,0,0,https://twitter.com/appletv/status/1191762097740419077,,,,1.19947E+18,https://twitter.com/TheBigIdito/status/1199473627910983680
11/26/19 12:19,fiftyshadesofss,AppleTV,1,0,1,"Everyone (especially Muslim men) are so quick to say “they’re depicting us as oppressed” man, foh. Muslim women are oppressed, fym? You don’t get to say they’re not bc you’re chillin in your AC controlled home in the west.",,,,1.1993E+18,https://twitter.com/fiftyshadesofss/status/1199301535374573572
11/22/19 19:49,AustralieJibril,AppleTV,0,1,1,The uproar over a B grade TV series depicting muslims in oppressed manner is greater than the uproar of Muslims being oppressed #Rohingya #GazaUnderAttack #syria #Uighurs #kashmir,,,#Rohingya #GazaUnderAttack #syria #Uighurs #kashmir,1.19797E+18,https://twitter.com/AustralieJibril/status/1197965434751832064
11/22/19 19:39,aloverofwords_,AppleTV,0,0,1,We do not need your validation. STOP PORTRAYING US AS OPPRESSED.,,,,1.19796E+18,https://twitter.com/aloverofwords_/status/1197962908266909698
11/22/19 0:53,krustykrabboi,AppleTV,0,0,0,Hey apple STICK TO MAKING PEOPLE SAY DUCK INSTEAD OF FUCK.,,,,1.19768E+18,https://twitter.com/krustykrabboi/status/1197679541268955136
11/21/19 9:58,Bongani_MV,AppleTV,0,0,0,REPLIES?? ,,,,1.19745E+18,https://twitter.com/Bongani_MV/status/1197454159693389824
11/20/19 18:12,wajeeh_exactly,,0,0,1,"Joram is a revert, if you don't know him, and before he reverted to Islam he was a member of the Netherlands right wing, who are actively doing propaganda campaign against Islam. Joram knows what's their target is, the reason why I share his posts sometimes. https://twitter.com/AppleTV/status/1191762097740419077",,,,1.19722E+18,https://twitter.com/wajeeh_exactly/status/1197216050326016000
11/19/19 19:58,Dre__xoxo,AppleTV,0,0,0,I want to watch this,,,,1.19688E+18,https://twitter.com/Dre__xoxo/status/1196880430831669255
11/18/19 21:34,susuajoke,AppleTV,0,3,19,I hate this white saviour narrative so much,,,,1.19654E+18,https://twitter.com/susuajoke/status/1196542132384911360
11/18/19 10:59,ramahimay,AppleTV,0,1,5,"from the bottom of my heart, fuck this. and fuck anyone who watches it and likes it. shit like this is feeding the hatred towards islam. people can’t just mind their damn business. fuck apple",,,,1.19638E+18,https://twitter.com/ramahimay/status/1196382474668040192
11/16/19 11:56,halahfar,AppleTV,0,1,1,"happy and ecstatic to announce that they have finally found an actress to portray me in the movie of me, Hala #HalaMovie",,,#HalaMovie,1.19567E+18,https://twitter.com/halahfar/status/1195671989064814592
11/15/19 20:58,hafsa_jama,,0,0,1,"I am so sick and tired of these narratives! how many times are we gonna tell you that we don’t need Dustin with a dusty ass to save us? if we muslim girls were to risk it all, we would risk it for Abdi and Abdullahi from the coner shop and not for a Dustin... @AppleTV https://twitter.com/AppleTV/status/1191762097740419077",,@AppleTV,,1.19545E+18,https://twitter.com/hafsa_jama/status/1195445898660188161
